date,region,product,salesperson,units_sold,discount_percent,unit_price,revenue
2024-01-01,East,Laptop,Raju,15,0,999,14985.0
2024-01-02,North,Headphones,Vikram,33,15,149,4179.45
2024-01-02,North,Tablet,Vikram,42,0,299,12558.0
2024-01-02,North,Headphones,Arjun,22,0,149,3278.0
2024-01-04,West,Tablet,Arjun,37,5,299,10509.85
2024-01-04,West,Smartwatch,Sneha,4,20,199,636.8000000000001
2024-01-05,South,Headphones,Arjun,26,0,149,3874.0
2024-01-05,South,Tablet,Sneha,29,10,299,7803.900000000001
2024-01-05,North,Headphones,Priya,15,0,149,2235.0
2024-01-06,West,Headphones,Arjun,9,15,149,1139.85
2024-01-08,North,Laptop,Arjun,34,20,999,27172.800000000003
2024-01-10,East,Smartwatch,Vikram,46,15,199,7780.9
2024-01-11,West,Laptop,Raju,7,0,999,6993.0
2024-01-13,South,Headphones,Arjun,44,10,149,5900.400000000001
2024-01-13,West,Smartwatch,Priya,6,0,199,1194.0
2024-01-13,North,Headphones,Vikram,33,0,149,4917.0
2024-01-14,East,Phone,Priya,28,5,499,13273.4
2024-01-15,South,Laptop,Arjun,8,15,999,6793.2
2024-01-16,North,Phone,Priya,44,15,499,18662.6
2024-01-17,West,Phone,Raju,42,0,499,20958.0
2024-01-17,North,Headphones,Priya,7,15,149,886.55
2024-01-17,South,Headphones,Arjun,45,5,149,6369.75
2024-01-19,West,Tablet,Vikram,5,0,299,1495.0
2024-01-20,South,Headphones,Priya,34,20,149,4052.8
2024-01-21,South,Phone,Priya,17,10,499,7634.7
2024-01-21,East,Phone,Arjun,3,20,499,1197.6000000000001
2024-01-22,North,Laptop,Sneha,4,0,999,3996.0
2024-01-23,East,Phone,Raju,9,10,499,4041.9
2024-01-23,North,Laptop,Arjun,9,20,999,7192.8
2024-01-24,South,Smartwatch,Priya,3,20,199,477.6
2024-01-25,West,Headphones,Sneha,29,20,149,3456.8
2024-01-26,North,Smartwatch,Vikram,26,10,199,4656.6
2024-01-26,East,Tablet,Arjun,30,20,299,7176.0
2024-01-27,East,Headphones,Arjun,6,5,149,849.3
2024-01-28,East,Smartwatch,Sneha,42,0,199,8358.0
2024-01-29,East,Tablet,Sneha,20,5,299,5681.0
2024-01-30,North,Smartwatch,Priya,6,0,199,1194.0
2024-01-30,West,Smartwatch,Priya,21,20,199,3343.2000000000003
2024-01-30,South,Phone,Raju,21,15,499,8907.15
2024-01-30,West,Tablet,Arjun,41,20,299,9807.2
2024-01-31,East,Laptop,Sneha,41,5,999,38911.049999999996
2024-01-31,East,Laptop,Priya,11,15,999,9340.65
2024-02-01,West,Headphones,Raju,33,0,149,4917.0
2024-02-01,North,Headphones,Raju,47,15,149,5952.55
2024-02-02,South,Smartwatch,Arjun,18,15,199,3044.7
2024-02-02,North,Laptop,Priya,33,20,999,26373.600000000002
2024-02-03,South,Headphones,Arjun,31,10,149,4157.1
2024-02-04,East,Headphones,Arjun,4,20,149,476.8
2024-02-04,West,Phone,Vikram,29,20,499,11576.800000000001
2024-02-05,West,Smartwatch,Raju,31,10,199,5552.1
2024-02-05,West,Laptop,Priya,3,0,999,2997.0
2024-02-05,North,Laptop,Arjun,15,5,999,14235.75
2024-02-05,North,Tablet,Vikram,25,15,299,6353.75
2024-02-05,North,Laptop,Priya,19,0,999,18981.0
2024-02-06,West,Laptop,Priya,22,20,999,17582.4
2024-02-06,North,Headphones,Priya,22,0,149,3278.0
2024-02-06,South,Tablet,Priya,43,0,299,12857.0
2024-02-07,North,Smartwatch,Priya,40,10,199,7164.0
2024-02-07,North,Laptop,Vikram,30,10,999,26973.0
2024-02-08,South,Laptop,Vikram,39,20,999,31168.800000000003
2024-02-08,East,Headphones,Raju,1,5,149,141.54999999999998
2024-02-10,South,Headphones,Priya,36,15,149,4559.4
2024-02-10,South,Tablet,Priya,22,20,299,5262.400000000001
2024-02-10,South,Tablet,Raju,36,20,299,8611.2
2024-02-11,South,Headphones,Priya,24,15,149,3039.6
2024-02-11,North,Tablet,Priya,1,10,299,269.1
2024-02-13,North,Phone,Vikram,47,15,499,19935.05
2024-02-14,South,Tablet,Raju,19,20,299,4544.8
2024-02-16,North,Tablet,Priya,2,20,299,478.40000000000003
2024-02-17,North,Smartwatch,Vikram,32,10,199,5731.2
2024-02-17,West,Tablet,Vikram,49,15,299,12453.35
2024-02-17,South,Smartwatch,Priya,33,15,199,5581.95
2024-02-17,South,Smartwatch,Sneha,31,15,199,5243.65
2024-02-18,West,Smartwatch,Raju,49,20,199,7800.8
2024-02-19,East,Tablet,Arjun,19,5,299,5396.95
2024-02-19,West,Tablet,Arjun,18,15,299,4574.7
